drug_name,medical_condition,generic_name,side_effects
Primlev,Pain,acetaminophen and oxycodone,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Opioid medicine can slow or stop your breathing, and death may occur. A person caring for you should give naloxone and/or seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking Primlev and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. Primlev may cause serious side effects. Call your doctor at once if you have: noisy breathing, sighing, shallow breathing, breathing that stops; a light-headed feeling, like you might pass out; weakness, tiredness, fever, unusual bruising or bleeding; confusion, unusual thoughts or behavior; problems with urination; liver problems--nausea, upper stomach pain, tiredness, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); low cortisol levels-- nausea, vomiting, loss of appetite, dizziness, worsening tiredness or weakness; or high levels of serotonin in the body-- agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, diarrhea . Serious breathing problems may be more likely in older adults and in those who are debilitated or have wasting syndrome or chronic breathing disorders. Common side effects include: dizziness, drowsiness, feeling tired; feelings of extreme happiness or sadness; nausea, vomiting, stomach pain; constipation ; or headache ."
Prolate,Pain,oxycodone hydrochloride and acetaminophen,
Qutenza,Pain,capsaicin topical,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Wash the skin and get medical attention right away if you have severe burning, pain, swelling, or blistering of the skin where you applied this medication. Stop using Qutenza and call your doctor at once if you have: skin redness where the medicine was applied; or trouble breathing or swallowing (after accidental inhalation of capsaicin odor or dried residue). Less serious side effects may include a mild burning sensation that can last for several hours or days, especially after your first use of Qutenza."
Rematex,Pain,"Methyl Salicylate, Menthol, and Capsaicin Cream and Ointment","WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Irritation where Rematex (methyl salicylate, menthol, and capsaicin cream and ointment) is used. Very bad burning or burning that does not go away. Rematex side effects"
Salonpas-Hot,Pain,Capsaicin Patch,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Salonpas-Hot side effects"
Sarna Sensitive,Pain,Pramoxine Lotion,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: For all uses of Sarna Sensitive (pramoxine lotion): Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Irritation where Sarna Sensitive (pramoxine lotion) is used. Swelling, warmth, or redness of the skin. Rectal: Bleeding from rectum or rectal pain. Sarna Sensitive side effects"
Seglentis,Pain,celecoxib and tramadol hydrochloride,"The possible side effects of Seglentis: constipation, nausea, sleepiness, vomiting, tiredness, headache, dizziness, abdominal pain. Call your healthcare provider if you have any of these symptoms and they are severe. NSAIDs can cause serious side effects, including: new or worse high blood pressure, heart failure, liver problems including liver failure, kidney problems including kidney failure, low red blood cells (anemia), life-threatening skin reactions, lifethreatening allergic reactions. Other side effects of NSAIDs include: stomach pain, constipation, diarrhea, gas, heartburn, nausea, vomiting, and dizziness. trouble breathing, shortness of breath, fast heartbeat, chest pain, swelling of your face, tongue, or throat, extreme drowsiness, light-headedness when changing positions, feeling faint, agitation, high body temperature, trouble walking, stiff muscles, or mental changes such as confusion. Stop taking Seglentis and call your healthcare provider right away if you get any of the following symptoms: nausea, more tired or weaker than usual, diarrhea, itching, your skin or eyes look yellow, indigestion or stomach pain, flulike symptoms, vomit blood, there is blood in your bowel movement or it is black and sticky like tar, unusual weight gain, skin rash or blisters with fever, swelling of the arms, legs, hands and feet. Seglentis may cause fertility problems in males and females, which may affect the ability to have children. Talk to your healthcare provider if you have concerns about fertility. These are not all the possible side effects. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088. For more information go to dailymed.nlm.nih.gov. Other information about NSAIDs: Aspirin is an NSAID but it does not increase the chance of a heart attack. Aspirin can cause bleeding in the brain, stomach, and intestines. Aspirin can also cause ulcers in the stomach and intestines. Some NSAIDs are sold in lower doses without a prescription (over the counter). Talk to your healthcare provider before using over-the-counter NSAIDs for more than 10 days. Seglentis side effects"
Solarcaine First Aid Medicated Spray,Pain,benzocaine (topical application route),"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: Rare Bluish color of the fingernails, lips, skin, palms, or nail beds Incidence not known Blistering, burning, crusting, dryness, or flaking of the skin cracking, itching, redness, or stinging of the skin dark urine difficulty with breathing difficulty with walking dizziness or lightheadedness fainting fever headache inability to feel hands and feet irritability irritation of the nose itching, scaling, severe redness, soreness, or swelling of the skin pale skin rapid heart rate red, sore eyes shortness of breath sore throat unusual bleeding or bruising unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness unusual tiredness or weakness Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Solarcaine First Aid Medicated Spray side effects"
Soltice Quick-Rub,Pain,"Camphor and Menthol Cream, Lotion, and Ointment","WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Soltice Quick-Rub side effects"
Sombra Cool Therapy,Pain,"Menthol Gel, Liquid, and Solution","WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Very bad skin irritation. Sombra Cool Therapy side effects"
Sombra Warm Therapy,Pain,Camphor and Menthol Gel,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Sombra Warm Therapy side effects"
Stopain,Pain,menthol topical,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stopain may cause serious side effects. Stop using Stopain and call your doctor at once if you have: severe burning, stinging, redness, or irritation after using this medicine; or pain, swelling, or blistering where the medicine was applied. Less serious side effects may be more likely, and you may have none at all."
sufentanil,Pain,,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor or nurse immediately if any of the following side effects occur: Incidence not known Agitation blurred vision confusion cough darkening of the skin diarrhea difficult or troubled breathing difficulty with swallowing dizziness dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position fainting fast heartbeat fever hives, itching, or skin rash irregular, fast or slow, or shallow breathing loss of appetite mental depression muscle stiffness nausea overactive reflexes pale or blue lips, fingernails, or skin poor coordination puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue restlessness shivering sweating talking or acting with excitement you cannot control tightness in the chest trembling or shaking twitching unusual tiredness or weakness vomiting Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Sufentanil side effects"
Sure Result DSS Premium Pak,Pain,"diclofenac sodium, capsaicin",
Theragen HP,Pain,"Capsaicin Cream, Gel, Liquid, and Lotion","WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Theragen HP side effects"
Therapeutic Ice,Pain,"Menthol Gel, Liquid, and Solution","WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Very bad skin irritation. Therapeutic Ice side effects"
Tiger Balm,Pain,camphor and menthol topical,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Tiger Balm may cause serious side effects. Stop using Tiger Balm and call your doctor at once if you have: severe burning, stinging, or irritation after using this medicine; or breathing problems after using this medicine on the chest or throat. Less serious side effects may be more likely, and you may have none at all."
Tiger Balm Pain Relieving Patch,Pain,Camphor and Menthol Patch,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Tiger Balm Pain Relieving Patch side effects"
Tivorbex,Pain,indomethacin (oral route),"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: Less common Acid or sour stomach belching diarrhea heartburn indigestion nausea stomach discomfort, upset, or pain vomiting Rare Abdominal or stomach cramping, burning, or tenderness back or leg pains bleeding gums blistering, peeling, or loosening of the skin bloody or black, tarry stools blue lips and fingernails blurred vision breast enlargement and tenderness burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings burning upper abdominal or stomach pain canker sores change in consciousness change in hearing chest pain, discomfort, or burning clay colored stools cloudy or bloody urine confusion continuing diarrhea cough or hoarseness coughing that sometimes produces a pink frothy sputum cracks in the skin dark urine decreased appetite decreased vision or any change in vision depression difficult or labored breathing difficulty with swallowing dilated neck veins dizziness, faintness, or lightheadedness when getting up from a lying or sitting position double vision dry mouth extreme fatigue false sense of well-being feeling of unreality feeling of warmth fever with or without chills flushed, dry skin fruit-like breath odor general body swelling greatly decreased frequency of urination or amount of urine hair loss headache heavier menstrual periods increased hunger increased sweating increased thirst increased urination irregular breathing irritation and swelling of the eye jerky movements of the head, face, mouth, and neck joint pain large, flat, blue or purplish patches in the skin large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs loss of appetite loss of balance control loss of bladder control loss of consciousness loss of hearing loss of heat from the body lower back or side pain mask-like face mood swings muscle aches, pains, or weakness muscle spasm or jerking of all extremities nervousness noisy, rattling breathing nosebleeds numbness or tingling in the hands, feet, or lips pain in the ankles or knees pain or discomfort in the upper stomach or throat pain with swallowing painful or difficult urination painful, red lumps under the skin, mostly on the legs pale skin persistent bleeding or oozing from puncture sites, mouth, or nose personality changes pinpoint red or purple spots on the skin pounding in the ears puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue red skin lesions, often with a purple center red, irritated eyes red, swollen skin redness of the face, neck, arms and occasionally, upper chest scaly skin seeing double seeing, hearing, or feeling things that are not there seizures sense of detachment from self or body severe constipation severe mental changes severe or continuing stomach pain shuffling walk skin rash, hives or welts, itching slow, fast, irregular, pounding, or racing heartbeat or pulse slowed movements slurred speech small red or purple spots on the skin sore throat sores, ulcers, or white spots on the lips or tongue or inside the mouth stiffness of the arms and legs sudden loss of consciousness swelling of the breasts or breast soreness in both females and males swelling of the face, fingers, feet, ankles, or lower legs swollen or painful glands tightness in the chest trembling and shaking of the fingers and hands troubled breathing at rest troubled breathing with exertion unexplained weight loss unpleasant breath odor unsteadiness or awkwardness unusual bleeding or bruising unusual tiredness or weakness vaginal bleeding vomiting of blood or material that looks like coffee grounds weakness in the arms, hands, legs, or feet weight gain yellow eyes or skin Symptoms of overdose Confusion about identity, place, and time severe headache unusual drowsiness, dullness, or feeling of sluggishness Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: More common Mild headache Less common Continuing ringing or buzzing or other unexplained noise in the ears difficulty having a bowel movement (stool) discouragement feeling sad or empty general feeling of discomfort or illness hearing loss irritability loss of interest or pleasure sleepiness trouble with concentrating Rare Anxiety bloated or full feeling changes in patterns and rhythms of speech excess air or gas in the stomach or intestines feeling of constant movement of self or surroundings involuntary muscle movements lightheadedness passing gas sensation of spinning tiredness trouble sleeping trouble with speaking Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Tivorbex side effects"
Topical Anesthetic Dental Gel,Pain,benzocaine,
Transderm-iQ,Pain,"capsaicin, lidocaine, menthol, and methyl salicylate (topical)","hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Wash the skin and get medical attention right away if you have severe burning, pain, swelling, or blistering of the skin where you applied this medicine. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: pale skin, blue-colored lips; headache , confusion; or rapid heartbeats. Common side effects may include a mild burning sensation that can last for several hours or days, especially after your first use of this medicine."
Trezix,Pain,"acetaminophen, caffeine, and dihydrocodeine","hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking Trezix and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. Opioid medicine can slow or stop your breathing, and death may occur. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Trezix may cause serious side effects. Call your doctor at once if you have: noisy breathing, sighing, shallow breathing, breathing that stops during sleep; chest pain, fast or pounding heartbeats, feeling light-headed, fainting; confusion, extreme drowsiness, unusual thoughts or behavior; painful or difficult urination; severe constipation ; liver problems-- nausea , upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or low cortisol levels-- nausea, vomiting , loss of appetite, dizziness, worsening tiredness or weakness. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea . Serious side effects may be more likely in older adults and those who are overweight , malnourished, or debilitated. Long-term use of opioid medication may affect fertility (ability to have children) in men or women. It is not known whether opioid effects on fertility are permanent. Common side effects include: dizziness, drowsiness, tiredness, headache ; nausea, vomiting, stomach pain, constipation; sweating, itching; or skin rash ."
Tru-micin,Pain,Trolamine Cream and Lotion,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Irritation where Tru-micin (trolamine cream and lotion) is used. Redness. Tru-micin side effects"
Ultracin T,Pain,Trolamine Cream and Lotion,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Irritation where Ultracin T (trolamine cream and lotion) is used. Redness. Ultracin T side effects"
Xodol,Pain,acetaminophen and hydrocodone,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Opioid medicine can slow or stop your breathing, and death may occur. A person caring for you should give naloxone and/or seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking Xodol and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. Xodol may cause serious side effects. Call your doctor at once if you have: noisy breathing, sighing, shallow breathing, breathing that stops; a light-headed feeling, like you might pass out; liver problems--nausea, upper stomach pain, tiredness, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); low cortisol levels-- nausea, vomiting, loss of appetite, dizziness, worsening tiredness or weakness; o high levels of serotonin in the body-- agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, diarrhea . Serious breathing problems may be more likely in older adults and in those who are debilitated or have wasting syndrome or chronic breathing disorders. Common side effects include: dizziness, drowsiness, feeling tired; nausea, vomiting, stomach pain; constipation ; or headache ."
Xolox,Pain,oxycodone and acetaminophen (oral route),"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: More common Black, tarry stools chills dark urine dizziness fever headache itching, skin rash light-colored stools loss of appetite nausea stomach pain unpleasant breath odor unusual tiredness or weakness vomiting of blood yellow eyes or skin Rare Cough fever with or without chills general feeling of tiredness or weakness hoarseness lower back or side pain painful or difficult urination sore throat sores, ulcers, or white spots on the lips or in the mouth unusual bleeding or bruising Incidence not known Back, leg, or stomach pains bleeding gums bloating blood in the urine or stools blue lips and fingernails blurred vision burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings chest pain, discomfort, or tightness cloudy urine clumsiness confusion constipation coughing that sometimes produces a pink frothy sputum darkening of the skin decreased awareness or responsiveness decreased frequency or amount of urine diarrhea difficult, fast, noisy breathing difficulty in passing urine (dribbling) difficulty with swallowing dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position drowsiness dry mouth extremely shallow or slow breathing fainting fast or deep breathing fast, slow, irregular, pounding, or racing heartbeat feeling of warmth general body swelling hives or welts increased sweating increased thirst indigestion large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or genitals lightheadedness mental depression muscle aches, tremors, or weakness nervousness nosebleeds pains in the stomach, side, or abdomen, possibly radiating to the back pale skin pinpoint red spots on the skin pounding in the ears puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue rapid, deep or shallow breathing redness of the face, neck, arms, and occasionally, upper chest restlessness seizures severe constipation severe sleepiness severe vomiting skin blisters sleepiness stomach cramps sunken eyes sweating swelling of the face, fingers, lower legs, or ankles thirst tiredness trouble breathing vomiting weakness or heaviness of the legs weight gain Symptoms of overdose Bluish lips or skin change in consciousness cold, clammy skin extreme sleepiness general feeling of discomfort or illness loss of consciousness low blood pressure or pulse slow breathing unconsciousness Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: More common Relaxed and calm feeling Incidence not known Agitation bad, unusual or unpleasant (after) taste belching change in taste cold sweats constricted, pinpoint, or small pupils (black part of the eye) continuing ringing or buzzing or other unexplained noise in the ears cool, pale skin depression difficulty with moving disturbed color perception double vision excess air or gas in the stomach or bowels false or unusual sense of well-being flushed, dry skin fruit-like breath odor full feeling general feeling of discomfort or illness halos around lights hearing loss heartburn increased hunger increased urination indigestion joint pain lack or loss of strength muscle cramps, spasms, pain, or stiffness night blindness nightmares overbright appearance of lights seeing, hearing, or feeling things that are not there seizures shakiness slurred speech swollen joints trouble sleeping tunnel vision unexplained weight loss unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Xolox side effects"
Ziclopro,Pain,diclofenac sodium and capsaicin,
ziconotide,Pain,ziconotide,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Ziconotide can affect your central nervous system and you may feel less alert. A person caring for you should seek emergency medical attention if you are hard to wake up. Call your doctor at once if you have: new or worsening muscle pain, soreness, or weakness, and/or dark urine; a light-headed feeling (like you might pass out); strange sensations in your mouth; skin sores, itching, blisters, breakdown of the outer layer of skin; confusion (especially in older adults); problems with memory or thought; unusual changes in mood or behavior--anger, aggression, paranoia, hallucinations, racing thoughts, risk-taking behavior; symptoms of depression --feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself; or symptoms of meningitis --fever, headache, neck stiffness, increased sensitivity to light, nausea, vomiting, confusion, or drowsiness. Common ziconotide side effects may include: dizziness; confusion; nausea; or unusual or involuntary eye movements."
Zyfrel,Pain,Hydrocodone and Acetaminophen Liquid,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Very bad dizziness or passing out. Clammy skin. Sweating a lot. Feeling confused. Trouble walking. Severe constipation or stomach pain. These may be signs of a severe bowel problem. Not able to pass urine or change in how much urine is passed. Hearing loss . Change in hearing. Chest pain or pressure. Fast or slow heartbeat . Fever, chills, or sore throat ; any unexplained bruising or bleeding; or feeling very tired or weak. Mood changes. Trouble passing urine. Change in eyesight. Seizures. A very bad skin reaction ( Stevens-Johnson syndrome / toxic epidermal necrolysis ) may happen. It can cause very bad health problems that may not go away, and sometimes death. Get medical help right away if you have signs like red, swollen, blistered, or peeling skin (with or without fever); red or irritated eyes; or sores in your mouth, throat, nose, or eyes. A severe and sometimes deadly problem called serotonin syndrome may happen if you take Zyfrel (hydrocodone and acetaminophen liquid) with certain other drugs. Call your doctor right away if you have agitation ; change in balance; confusion; hallucinations; fever; fast or abnormal heartbeat; flushing; muscle twitching or stiffness; seizures; shivering or shaking; sweating a lot; severe diarrhea , upset stomach, or throwing up; or severe headache . Zyfrel side effects"
Humira,Psoriasis,adalimumab,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor right away if you have any symptoms of lymphoma : fever, swollen glands, night sweats , general feeling of illness; joint and muscle pain , skin rash , easy bruising or bleeding; pale skin, feeling light-headed or short of breath, cold hands and feet; pain in your upper stomach that may spread to your shoulder; or loss of appetite, feeling full after eating only a small amount, weight loss . Also call your doctor at once if you have: new or worsening psoriasis (raised, silvery flaking of the skin); a sore or bump on your skin that does not heal; symptoms of sepsis - confusion, chills, severe drowsiness, fast heartbeats, rapid breathing, feeling very ill; liver problems - body aches, tiredness, stomach pain, right-sided upper stomach pain, vomiting, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); lupus -like syndrome - joint pain or swelling, chest pain, shortness of breath, patchy skin color that worsens in sunlight; nerve problems - numbness, tingling, dizziness , vision problems, weakness in your arms or legs; or signs of tuberculosis - fever with ongoing cough, weight loss (fat or muscle). Older adults may be more likely to develop infections or cancer while using adalimumab. Common side effects of Humira may include: headache ; cold symptoms such as stuffy nose, sinus pain, sneezing, sore throat ; rash; or redness, bruising, itching, or swelling where the injection was given."
Stelara,Psoriasis,ustekinumab,"hives ; chest pain, difficult breathing; feeling light-headed; swelling of your face, lips, tongue, or throat. Serious infections may occur during treatment with Stelara. Call your doctor right away if you have signs of infection such as: fever, chills, muscle pain, shortness of breath, weight loss, diarrhea or stomach pain, burning when you urinate, feeling very tired, skin warmth or redness, painful skin sores, or coughing up blood. Also call your doctor at once if you have: a mole that has changed in size or color; swelling, pain, warmth, or redness anywhere on your body; stomach pain that is sudden and severe or comes on slowly, changes in bowel habits (diarrhea or constipation ); new or worsening cough, sudden chest pain, feeling short of breath; pain or burning when you urinate; or severe headache , confusion, change in mental status, vision problems, and/or seizure (convulsions). Common Stelara side effects may include: fever, flu-like symptoms; infection; itching; stomach pain, nausea, vomiting , diarrhea; vaginal itching or discharge; pain or burning when you urinate; cough with mucus, shortness of breath, chest discomfort; headache, tiredness; or redness at the injection site."
ustekinumab,Psoriasis,Ustekinumab Brand name: Stelara,"What are the most common side effects of ustekinumab ? cough with mucus, shortness of breath, chest discomfort Infection fever, flu-like symptoms headache, tiredness Itching redness at the injection site vaginal itching or discharge pain or burning when you urinate stomach pain, nausea, vomiting, diarrhea. What are the serious (bad) side effects of ustekinumab ? hives; chest pain, difficult breathing; feeling light-headed; swelling of your face, lips, tongue, or throat. Serious infections may occur during treatment with ustekinumab . Call your doctor right away if you have signs of infection such as: fever, chills, muscle pain, shortness of breath, weight loss, diarrhea or stomach pain, burning when you urinate, feeling very tired, skin warmth or redness, painful skin sores, or coughing up blood. Also call your doctor at once if you have: a mole that has changed in size or color swelling, pain, warmth, or redness anywhere on your body stomach pain that is sudden and severe or comes on slowly, changes in bowel habits (diarrhea or constipation) new or worsening cough, sudden chest pain, feeling short of breath pain or burning when you urinate severe headache, confusion, change in mental status, vision problems, and/or seizure (convulsions)."
adalimumab,Psoriasis,adalimumab,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor right away if you have any symptoms of lymphoma : fever, swollen glands, night sweats , general feeling of illness; joint and muscle pain, skin rash , easy bruising or bleeding; pale skin, feeling light-headed or short of breath, cold hands and feet; pain in your upper stomach that may spread to your shoulder; or loss of appetite, feeling full after eating only a small amount, weight loss . Also call your doctor at once if you have: new or worsening psoriasis (raised, silvery flaking of the skin); a sore or bump on your skin that does not heal; symptoms of sepsis --confusion, chills, severe drowsiness, fast heartbeats, rapid breathing, feeling very ill; liver problems--body aches, tiredness, stomach pain, right-sided upper stomach pain, vomiting , loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); lupus -like syndrome--joint pain or swelling, chest pain, shortness of breath, patchy skin color that worsens in sunlight; nerve problems--numbness, tingling, dizziness , vision problems, weakness in your arms or legs; or signs of tuberculosis--fever with ongoing cough, weight loss (fat or muscle). Older adults may be more likely to develop infections or cancer while using adalimumab. Common side effects of adalimumab may include: headache ; cold symptoms such as stuffy nose, sinus pain, sneezing, sore throat ; rash; or redness, bruising, itching, or swelling where the injection was given."
